1,FPUH Zdziech,694-522-63-85,2022-10-12,2023-03-01,Średnia,4
2,FPUH Pesta i syn s.c.,909-346-11-70,2023-01-22,2019-09-23,Średnia,36
3,Nikel i syn s.c.,285-402-39-27,2021-12-21,2023-06-24,Zła,10
4,Grupa Waloszczyk Sp. z o.o.,066-906-79-43,2021-01-30,2024-04-08,Dobra,3
5,Gabinety Denkiewicz-Michniak Sp.k.,065-349-10-75,2021-02-04,2021-03-11,Bardzo dobra,22
6,FPUH Panuś,301-884-02-43,2020-03-09,2016-01-02,Średnia,6
7,Kleina-Cieciura Sp.j.,593-477-39-37,2023-04-02,2017-04-19,Bardzo dobra,22
8,Gabinety Stępak,760-320-68-01,2024-02-02,2019-08-02,Bardzo dobra,36
9,Stowarzyszenie Hynek-Pleban i syn s.c.,489-869-70-81,2024-10-27,2023-04-20,Bardzo dobra,9
10,Hojda s.c.,578-647-19-19,2024-03-09,2022-06-02,Bardzo dobra,49
11,Stowarzyszenie Łój,050-655-19-68,2019-11-07,2020-07-11,Dobra,12
12,Smela-Rajch i syn s.c.,439-901-89-77,2022-08-09,2019-10-10,Bardzo dobra,34
13,Kubrak-Kazimierczuk Sp.j.,590-824-23-09,2023-06-07,2022-01-20,Średnia,19
14,Radzio Sp. z o.o. Sp.k.,959-978-59-66,2023-03-13,2018-12-13,Zła,4
15,Spółdzielnia Klama S.A.,330-498-51-68,2022-10-09,2021-11-25,Dobra,30
16,Stowarzyszenie Ankiewicz,058-875-15-52,2023-10-06,2024-03-06,Średnia,5
17,Spółdzielnia Waraksa,174-608-99-77,2023-07-28,2022-03-28,Dobra,37
18,Gabinety Fydrych Sp. z o.o.,340-288-30-34,2023-12-17,2021-04-28,Średnia,32
19,Skolik-Szlęk Sp. z o.o. Sp.k.,866-759-39-84,2023-11-09,2015-07-25,Bardzo dobra,50
20,Rok S.A.,689-190-22-09,2023-05-06,2015-10-23,Średnia,2
21,Polewka Sp.k.,553-353-24-30,2023-08-18,2024-03-15,Bardzo dobra,50
22,Sibiga i syn s.c.,852-727-38-84,2021-05-06,2018-09-30,Średnia,49
23,Spółdzielnia Solarczyk Sp.k.,412-358-72-00,2023-04-14,2017-03-11,Średnia,28
24,FPUH Karpeta-Ellwart Sp. z o.o. Sp.k.,445-262-77-19,2024-02-18,2017-01-16,Bardzo dobra,36
25,Stowarzyszenie Duży Sp. z o.o. Sp.k.,343-184-63-91,2020-01-21,2022-08-22,Zła,42
26,Sznura Sp.k.,790-128-61-48,2020-08-05,2020-11-27,Zła,23
27,Spółdzielnia Wowra i syn s.c.,565-459-93-49,2021-06-18,2020-09-12,Dobra,12
28,Salwin-Szatanik Sp. z o.o. Sp.k.,071-334-17-91,2020-04-04,2023-09-25,Średnia,3
29,Stowarzyszenie Morek-Kudela s.c.,820-469-22-74,2020-05-10,2020-03-11,Dobra,23
30,Spółdzielnia Roś Sp.k.,088-722-27-94,2021-05-13,2015-07-07,Zła,36
31,Grupa Mysiak,906-941-28-90,2024-06-28,2019-01-28,Bardzo dobra,5
32,PPUH Gałach s.c.,052-576-36-22,2020-07-03,2019-12-29,Średnia,18
33,Gabinety Kosz,952-849-28-82,2024-06-10,2018-02-22,Zła,48
34,Fundacja Świadek s.c.,560-290-51-62,2021-05-17,2018-03-23,Średnia,45
35,Lisik Sp.k.,383-757-07-95,2021-09-11,2021-05-23,Średnia,44
36,Spółdzielnia Koczy,737-684-42-30,2021-12-24,2023-06-29,Średnia,22
37,Spółdzielnia Jędra-Słobodzian Sp.j.,380-434-57-81,2019-11-09,2023-03-01,Zła,13
38,PPUH Tadla Sp.j.,885-708-81-72,2024-03-29,2016-12-28,Dobra,29
39,Grupa Lukas,565-596-49-61,2021-07-23,2016-01-24,Dobra,34
40,Szmalec Sp.k.,401-009-60-08,2021-01-18,2016-11-05,Średnia,28
41,Flieger-Mueller S.A.,889-416-70-12,2020-07-31,2024-03-11,Zła,50
42,Pietrasz i syn s.c.,046-129-10-58,2023-03-03,2017-07-27,Średnia,36
43,Stowarzyszenie Pilipczuk,981-913-85-51,2024-05-27,2023-03-05,Dobra,13
44,Stowarzyszenie Szyja s.c.,096-891-53-45,2021-02-05,2018-01-25,Bardzo dobra,33
45,Fundacja Sadlak,602-231-35-38,2020-03-26,2023-08-01,Zła,27
46,Spółdzielnia Zinkiewicz-Ciemięga S.A.,087-050-62-15,2024-07-02,2017-08-16,Średnia,11
47,Solarek-Mendyka Sp.j.,720-033-95-75,2021-11-26,2024-03-11,Dobra,48
48,Uryga Sp.j.,429-076-18-62,2020-12-25,2016-10-28,Dobra,37
49,Spółdzielnia Kazior,550-495-97-80,2021-07-16,2021-08-05,Średnia,16
50,Gołofit-Dubis Sp.k.,176-038-91-37,2019-12-09,2016-05-01,Średnia,30
51,Spółdzielnia Kurp-Rajda Sp. z o.o. Sp.k.,907-661-08-80,2023-06-22,2022-06-19,Średnia,6
52,Spółdzielnia Makles-Sobuś Sp. z o.o.,044-508-94-83,2023-12-06,2022-08-23,Dobra,49
53,FPUH Solnica-Sot i syn s.c.,397-901-08-14,2023-02-13,2023-01-28,Średnia,12
