Lubin,Ville,Asnyka,441,26,47-977
Płońsk,Ville,Azaliowa,43/14,37,99-356
Łaziska Górne,Ville,Zaciszna,91/39,27,82-991
Zakopane,Ville,Akacjowa,54,29,20-836
Mielec,Ville,Słonecznikowa,082,26,88-447
Kołobrzeg,Ville,Błękitna,76/65,37,66-573
Toruń,Ville,Kreta,45,50,96-763
Ząbki,Ville,Władysława Jagiełły,095,43,04-536
Brzeg,Ville,Pocztowa,217,49,52-167
Zduńska Wola,Ville,Kossaka,45/14,50,65-271
Swarzędz,Ville,Pszenna,70,40,61-323
Skierniewice,Ville,Mickiewicza,00/06,9,07-759
Brzeg,Ville,Słowianska,96,41,51-772
Żagań,Ville,Władysława Jagiełły,082,11,60-364
Białogard,Ville,Makuszyńskiego,273,18,57-256
Ostróda,Ville,Władysława Łokietka,532,47,50-731
Police,Ville,Strzelecka,23/29,36,98-753
Świętochłowice,Ville,Krucza,08,3,92-584
Dzierżoniów,Ville,Kopernika,01/11,7,20-186
Tarnów,Ville,Moniuszki,71,4,34-773
Gniezno,Ville,Bolesława Krzywoustego,53,9,79-551
Brzeg,Ville,Owocowa,73/95,35,61-323
Żary,Ville,Jesienna,70/96,23,29-590
Żyrardów,Ville,Dąbrowskiej,43,16,38-556
Krotoszyn,Ville,Jana,43/75,2,23-226
Wyszków,Ville,Malinowa,46,40,53-789
Jelenia Góra,Ville,Prosta,93/04,21,94-847
Nowa Sól,Ville,Kalinowa,54,5,50-939
Wrocław,Ville,Rubinowa,53/02,38,64-078
Włocławek,Ville,Kasprowicza,125,45,05-532
Nowy Sącz,Ville,Spółdzielcza,410,6,22-479
Środa Wielkopolska,Ville,Norwida,161,25,03-382
Włocławek,Ville,Hallera,16/96,40,28-079
Tomaszów Mazowiecki,Ville,Dąbrowskiej,08,31,24-684
Sandomierz,Ville,Nowa,195,19,28-296
Wołomin,Ville,Targowa,89,23,19-465
Kościerzyna,Ville,Lipca,630,2,86-559
Chojnice,Ville,Jeziorna,896,7,80-926
Sopot,Ville,Powstańców,58/72,35,82-320
Bytom,Ville,Składowa,597,47,48-118
Sosnowiec,Ville,Jeżynowa,84/49,33,39-358
Piaseczno,Ville,Jesienna,11/60,32,51-316
